Spec,Bar,Cuts (mm),Pieces,Offcut (mm)
2020,1,"2000 + 2000 + 990 + 990",4,11
2020,2,"2000 + 2000 + 900 + 900",4,191
2020,3,"2000 + 2000 + 900 + 900",4,191
2020,4,"2000 + 2000 + 900 + 900",4,191
2020,5,"2000 + 2000 + 800 + 800 + 380",5,8
2020,6,"2000 + 2000 + 800 + 800 + 380",5,8
2020,7,"800 + 800 + 800 + 800 + 800 + 800 + 800 + 360",8,19
2020,8,"800 + 780 + 780 + 780 + 780 + 780 + 780 + 430",8,69
2020,9,"740 + 740 + 740 + 740 + 740 + 740 + 740 + 740",8,59
2020,10,"740 + 740 + 740 + 740 + 710 + 710 + 710 + 710",8,179
2020,11,"710 + 710 + 710 + 710 + 680 + 680 + 680 + 680 + 380",9,36
2020,12,"640 + 640 + 640 + 640 + 640 + 640 + 630 + 630 + 600",9,276
2020,13,"580 + 580 + 580 + 580 + 580 + 580 + 580 + 580 + 580 + 580",10,173
2020,14,"580 + 580 + 580 + 580 + 580 + 580 + 550 + 550 + 550 + 550 + 280",11,10
2020,15,"550 + 550 + 430 + 430 + 430 + 430 + 430 + 430 + 430 + 420 + 420 + 420 + 420",13,174
2020,16,"420 + 420 + 420 + 420 + 380 + 380 + 380 + 380 + 380 + 380 + 380 + 380 + 380 + 380 + 380",15,98
2020,17,"380 + 380 + 380 + 380 + 380 + 380 + 360 + 360 + 360 + 360 + 360 + 360 + 360 + 360 + 360 + 360",16,75
2020,18,"360 + 360 + 360 + 360 + 360 + 360 + 360 + 360 + 360 + 360 + 360 + 360 + 360 + 360 + 360 + 360",16,195
2020,19,"360 + 300 + 300 + 300 + 300 + 300 + 280 + 280 + 280 + 280 + 280 + 280 + 280 + 280",14,1861
2040,1,"1180 + 1180 + 1180 + 1180 + 960 + 300",6,5
2040,2,"960 + 960 + 960 + 960 + 960 + 960",6,225
2040,3,"960 + 950 + 950 + 950 + 950 + 930 + 280",7,12
2040,4,"930 + 930 + 930 + 910 + 910 + 910 + 380",7,82
2040,5,"910 + 880 + 880 + 880 + 880 + 810 + 710",7,32
2040,6,"810 + 810 + 810 + 810 + 810 + 810 + 810 + 300",8,9
2040,7,"780 + 780 + 780 + 780 + 760 + 760 + 760 + 560",8,19
2040,8,"760 + 760 + 760 + 710 + 710 + 710 + 680 + 680",8,209
2040,9,"680 + 680 + 640 + 640 + 640 + 630 + 630 + 630 + 630",9,176
2040,10,"630 + 630 + 630 + 630 + 630 + 630 + 630 + 630 + 630 + 300",10,3
2040,11,"630 + 630 + 630 + 610 + 610 + 610 + 610 + 610 + 610 + 380",10,43
2040,12,"610 + 610 + 610 + 610 + 610 + 610 + 610 + 610 + 610 + 480",10,3
2040,13,"610 + 580 + 580 + 580 + 580 + 580 + 580 + 580 + 580 + 580",10,143
2040,14,"580 + 580 + 580 + 580 + 580 + 580 + 580 + 580 + 580 + 560",10,193
2040,15,"560 + 560 + 560 + 560 + 560 + 560 + 560 + 560 + 560 + 560 + 300",11,70
2040,16,"560 + 560 + 560 + 560 + 560 + 560 + 560 + 560 + 560 + 560 + 300",11,70
2040,17,"560 + 560 + 560 + 560 + 560 + 560 + 560 + 560 + 480 + 480 + 480",11,50
2040,18,"380 + 380 + 380 + 380 + 380 + 380 + 300 + 300 + 300 + 300 + 300 + 300 + 300 + 300 + 300 + 300 + 300 + 280",18,89
2040,19,"280 + 280",2,5437
4040,1,"2320 + 2320",2,1357
4040,2,"2320 + 2320",2,1357
4040,3,"2320 + 2320",2,1357
4040,4,"2220 + 2220",2,1557
4040,5,"2220 + 2220",2,1557
4040,6,"2220 + 2220",2,1557
4040,7,"2120 + 2120",2,1757
4040,8,"2120 + 2120",2,1757
4040,9,"2120 + 2120",2,1757

Summary,2020,19 × 6000mm,,3824
Summary,2040,19 × 6000mm,,6870
Summary,4040,9 × 6000mm,,14013
Summary,Total bars,47,,
Summary,Yield,90.9%,,
