Category,Item,Spec,Cut length (mm),Quantity
Profile,2020,2020,850,10
Profile,2020,2020,660,14
Profile,2020,2020,580,13
Profile,2020,2020,560,5
Profile,2020,2020,330,20
Profile,2040,2040,3640,3
Profile,2040,2040,3620,4
Profile,2040,2040,3580,1
Profile,2040,2040,580,2
Profile,2040,2040,560,4
Profile,4040,4040,850,4
Connector,"L型角码",20 系列,,124
Connector,"L型角码",40 系列,,13
Fastener,"螺栓 M5×10",20,,248
Fastener,"螺栓 M8×16",40,,26
Fastener,"T型螺母 M5",20,,248
Fastener,"T型螺母 M8",40,,26
Board,"515 × 354 mm","多层板 15mm",,4
Board,"560 × 354 mm","多层板 15mm",,4
Board,"560 × 515 mm","多层板 15mm",,2
Board,"574 × 374 mm","多层板 15mm",,2
Board,"580 × 350 mm","密度板 18mm",,4
Board,"600 × 580 mm","密度板 18mm",,2
Board,"610 × 570 mm","密度板 18mm",,2
Board,"620 × 260 mm","密度板 18mm",,1
Board,"620 × 600 mm","密度板 18mm",,1
Board,"680 × 620 mm","密度板 18mm",,2
Board,"820 × 620 mm","密度板 18mm",,1
Board,"820 × 630 mm","密度板 18mm",,1
Suggested,"端盖 20 系列（按自由端推算）",20,,8
Summary,Overall WxDxH,3640x640x2220,,
Summary,Total cut length (mm),,70460,
Summary,Board area (m2),,7.13,
